,"graphite,cr","CO,g","CO2,g","CH4,g","H2,g","H2O,g","O2,g","ethane,g","propane,g"
109,0,-2.310858781,-1.433566478,2.68379629,0.965983043,0.885400534,-30,-0.699808195,-3.508575906
110,0,-2.579102638,-2.386052805,2.686186443,1.071689745,0.39224148,-30,-0.629568237,-3.393554637
111,0,-2.83021934,-3.277078814,2.684945212,1.169370208,-0.0716694,-30,-0.568780058,-3.292262903
112,0,-3.0658204,-4.112416636,2.682288192,1.260676139,-0.508202318,-30,-0.513738697,-3.199666629
113,0,-3.287320961,-4.897137287,2.678820809,1.346390346,-0.919667317,-30,-0.463204041,-3.114030829
114,0,-3.495968843,-5.635713993,2.674709655,1.427021629,-1.308282753,-30,-0.416636243,-3.034564879
115,0,-3.692868579,-6.332107771,2.669981766,1.502962074,-1.67607042,-30,-0.373740599,-2.960814087
116,0,-3.879001424,-6.989838713,2.664624837,1.574543557,-2.024842741,-30,-0.334312046,-2.892451019
117,0,-4.055242097,-7.612045688,2.658614183,1.642056587,-2.356220489,-30,-0.298190402,-2.829214711
118,0,-4.222372874,-8.201536594,2.651922511,1.705759725,-2.671654149,-30,-0.265242096,-2.770885385
119,0,-4.381095491,-8.760830874,2.64452352,1.765885225,-2.972444307,-30,-0.235351721,-2.7172724
120,0,0.784114705,8.022133281,NaN,NaN,NaN,-28,NaN,NaN
121,0,0.362614922,6.520334836,NaN,NaN,NaN,-28,NaN,NaN
122,0,-0.025291475,5.138839901,NaN,NaN,NaN,-28,NaN,NaN
123,0,-0.383504424,3.863732116,NaN,NaN,NaN,-28,NaN,NaN
124,0,-0.715341889,2.683162435,-0.796962722,-1.004615543,1.241068612,-28,-6.068101766,-10.71287261
125,0,-1.023644569,1.586978954,2.421586991,0.72353733,2.283122926,-28,-1.164221929,-4.150398507
126,0,-1.310858781,0.566433522,2.619312321,0.933741059,1.853158551,-28,-0.796534148,-3.637543844
127,0,-1.579102638,-0.386052805,2.666239179,1.061716113,1.382267849,-28,-0.659489134,-3.433449166
128,0,-1.83021934,-1.277078814,2.678157271,1.16597624,0.924936632,-28,-0.578961971,-3.305838788
129,0,-2.0658204,-2.112416636,2.679803934,1.259434009,0.490555554,-28,-0.517465086,-3.204635148
130,0,-2.287320961,-2.897137287,2.677856769,1.345908327,0.079850664,-28,-0.464650103,-3.115958912
131,0,-2.495968843,-3.635713993,2.674312076,1.426822839,-0.308481543,-28,-0.417232612,-3.035360038
132,0,-2.692868579,-4.332107771,2.669809928,1.502876155,-0.676156339,-28,-0.373998356,-2.961157764
133,0,-2.879001424,-4.989838713,2.664547084,1.574504681,-1.024881617,-28,-0.334428674,-2.892606523
134,0,-3.055242097,-5.612045688,2.658577479,1.642038235,-1.356238841,-28,-0.298245458,-2.829288119
135,0,-3.222372874,-6.201536594,2.651904487,1.705750713,-1.671663161,-28,-0.265269132,-2.770921433
136,0,-3.381095491,-6.760830874,2.644514335,1.765880632,-1.9724489,-28,-0.235365499,-2.71729077
137,0,1.784114705,10.02213328,NaN,NaN,NaN,-26,NaN,NaN
138,0,1.362614922,8.520334836,NaN,NaN,NaN,-26,NaN,NaN
139,0,0.974708525,7.138839901,NaN,NaN,NaN,-26,NaN,NaN
