"","graphite,cr","CO,g","CO2,g","CH4,g","H2,g","H2O,g","O2,g","ethane,g","propane,g"
"68",0,-6.881095490581,-13.7608308742983,2.64452453784044,1.7658857334832,-5.47244379862941,-35,-0.235350194871009,-2.7172703643849
"69",0,-1.71588529478334,3.02213328052631,NaN,NaN,NaN,-33,NaN,NaN
"70",0,-2.13738507750108,1.52033483563826,2.40586030295531,0.186154954066587,2.32364006718496,-33,-1.52823897639751,-4.74142713814858
"71",0,-2.52529147496673,0.138839901282033,2.64533369377138,0.452788133189696,1.73069773524407,-33,-1.07411328714014,-4.10686711269084
"72",0,-2.88350442368937,-1.13626788428755,2.68429868037602,0.608787304724606,1.09184470365608,-33,-0.927814863510639,-3.88463634460675
"73",0,-3.21534188852973,-2.31683756507122,2.69134899747245,0.739540317841464,0.485224473339299,-33,-0.835634186932277,-3.73624916981152
"74",0,-3.52364456923548,-3.41302104644012,2.69176668828855,0.858627178997815,-0.0817872249241567,-33,-0.758952382520123,-3.61003911270395
"75",0,-3.81085878074527,-4.43356647779211,2.69040320709262,0.969286503054415,-0.611296004674707,-33,-0.689897818723959,-3.49536207196543
"76",0,-4.07910263767712,-5.38605280545876,2.68829727590613,1.07274516157451,-1.10670310270078,-33,-0.626401987693439,-3.38933297099244
"77",0,-4.33021933988329,-6.27707881400918,2.68567164110947,1.16973342231278,-1.57130618721486,-33,-0.567690414928303,-3.29081004859989
"78",0,-4.56582040011279,-7.11241663623518,2.68255580149169,1.26080994553576,-2.0080685081635,-33,-0.513337285365055,-3.19913141618208
"79",0,-4.78732096143887,-7.89713728678521,2.67892474132608,1.34644231223721,-2.41961535079542,-33,-0.463048143252318,-3.11382296554953
"80",0,-4.99596884347845,-8.63571399261011,2.67475241376189,1.42704300802156,-2.80826137351785,-33,-0.416572104703529,-3.03447936175791
"81",0,-5.19286857942641,-9.3321077708075,2.67000025128539,1.50297131708521,-3.17606117698427,-33,-0.37371287095552,-2.9607771166011
"82",0,-5.37900142375924,-9.98983871325354,2.66463320159036,1.57454773980227,-3.52483855809599,-33,-0.334299498230993,-2.89243428859465
"83",0,-5.55524209734328,-10.6120456878363,2.6586181315744,1.64205856147376,-3.85621851416023,-33,-0.29818447831453,-2.82920681334437
"84",0,-5.72237287433382,-11.2015365944334,2.65192445070569,1.70576069439565,-4.17165317959391,-33,-0.265239186509173,-2.77088150586396
"85",0,-5.881095490581,-11.7608308742983,2.64452450857932,1.76588571885276,-4.47244381326583,-33,-0.23535023876256,-2.71727042290774
"86",0,-0.71588529478334,5.02213328052631,NaN,NaN,NaN,-31,NaN,NaN
"87",0,-1.13738507750108,3.52033483563826,NaN,NaN,NaN,-31,NaN,NaN
"88",0,-1.52529147496673,2.13883990128203,2.00954649941612,0.134894535890753,2.41280413784489,-31,-2.02779407862942,-5.37844150119676
"89",0,-1.88350442368937,0.863732115712452,2.57923851483691,0.556257222628912,2.03931462223616,-31,-1.08540511185905,-4.09475667625135
"90",0,-2.21534188852973,-0.316837565071218,2.66682362594979,0.727277630874417,1.472961785211,-31,-0.872422244058718,-3.7852999104715
"91",0,-2.52364456923548,-1.41302104644012,2.68520462428307,0.855346148008453,0.914931744967821,-31,-0.768795479199979,-3.62316324410717
"92",0,-2.81085878074527,-2.43356647779211,2.68846761129358,0.968318705266687,0.387736197535767,-31,-0.692801214040237,-3.49923326675747
"93",0,-3.07910263767712,-3.38605280545876,2.68767748292301,1.07243526458389,-0.107013000184877,-31,-0.627331676640115,-3.39057255843472
"94",0,-3.33021933988329,-4.27707881400918,2.68545800427702,1.16962660436336,-0.571413004779916,-31,-0.568010867627525,-3.29123731613617
"95",0,-3.56582040011279,-5.11241663623518,2.68247673519911,1.26077041069384,-1.00810804476017,-31,-0.513455885167059,-3.19928954779308
"96",0,-3.78732096143887,-5.89713728678521,2.67889419803982,1.34642704059402,-1.41963062243858,-31,-0.463093958181575,-3.11388405212165
"97",0,-3.99596884347846,-6.63571399261011,2.67473984741488,1.42703672484855,-1.80826765669042,-31,-0.416590954224306,-3.03450449445252
